;;;;;2019;2019;2020;2020;2021;2021;2022;2022;2023;2023;2024;2024;MO ΝΕΕΣ ΘΕΣΕΙΣ;ΜΟ ΠΡΟΣΛΗΨΕΙΣ
Εκπαιδευτικό επίπεδο;Περιφέρεια;Φύλο;Κλάδος (1ο επίπεδο ανάλυσης);Επάγγελμα (1ο επίπεδο ανάλυσης);Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;;
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Διαχείριση ακίνητης περιουσίας;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;0;4;0;2;1;3;0;1;0;2;-7;5;1;3
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Διαχείριση ακίνητης περιουσίας;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;0;2;0;1;;;0;1;0;1;0;1;0;1
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Διαχείριση ακίνητης περιουσίας;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;0;1;;;;;;;;;0;1;0;1
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Διαχείριση ακίνητης περιουσίας;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;-1;;1;1;-1;;;;;;;;0;1
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Διαχείριση ακίνητης περιουσίας;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;0;2;2;5;-1;1;2;2;1;1;1;3;-1;2
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Διαχείριση ακίνητης περιουσίας;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;2;11;-1;6;1;4;0;10;7;23;6;25;-3;13
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Διαχείριση ακίνητης περιουσίας;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);;;0;2;;;;;0;1;1;2;0;2
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;7;153;0;144;23;202;-19;190;38;264;0;268;-8;204
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;-33;274;-13;167;51;192;-19;130;0;307;-37;116;9;198
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;-1;19;1;15;0;23;0;15;12;35;-4;13;-1;20
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;3;3;1;3;1;3;2;8;2;3;-1;2;-1;4
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;0;1;;;;;;;;;;;0;1
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;0;9;-1;3;-2;2;1;2;0;8;0;2;0;4
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;-5;20;-3;10;2;11;-3;15;7;56;-6;28;1;23
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;6;83;11;65;-8;71;5;86;-3;95;9;115;-3;86
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Διοικητικές και υποστηρικτικές δραστηριότητες;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);5;146;-2;68;12;78;45;389;69;566;22;703;-25;325
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες νοικοκυριών ως εργοδοτών, μη διαφοροποιημένες δραστηριότητες νοικοκυριών, που αφορούν την παραγωγή αγαθών -και υπηρεσιών- για ίδια χρήση;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;;;;;;;;;;;-1;2;1;2
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;-5;10;10;16;-11;12;-3;9;18;32;-5;22;-1;17
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;0;18;0;27;1;21;6;26;1;30;0;30;-1;25
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;0;1;0;1;1;3;0;2;;;1;1;0;2
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;-1;1;1;1;2;2;3;22;-5;10;3;7;-1;7
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;0;7;0;9;1;15;-5;8;0;13;-2;2;1;9
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;-8;4;0;12;5;34;-4;27;2;27;-5;35;2;23
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;3;21;0;21;14;37;1;32;7;29;2;28;-5;28
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);3;14;7;15;0;19;-7;13;2;29;3;33;-1;21
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;22;1.513;79;1.170;-16;1.336;-14;1.574;-28;1.526;-118;1.347;13;1411
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;194;8.528;-143;4.994;-48;5.709;-29;7.202;-178;7.470;-329;7.375;89;6880
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;-1;28;-1;14;1;18;0;21;3;32;5;36;-1;25
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;2;167;6;103;5;118;9;218;7;279;15;220;-7;184
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;-7;157;-8;59;-2;65;-3;106;-2;133;-5;100;5;103
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;5;129;-18;59;7;41;0;72;3;90;-5;62;1;76
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;120;5.510;-158;2.059;86;2.183;145;4.219;108;5.321;-94;4.872;-35;4027
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;-3;384;6;272;-6;393;22;489;-5;573;-28;607;2;453
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);-3;199;17;182;26;310;6;269;-16;256;7;362;-6;263
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Εκπαίδευση;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;6;10;-6;4;-2;3;0;4;0;5;12;30;-2;9
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Εκπαίδευση;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;2;16;2;15;-3;9;-4;6;-1;2;-1;2;1;8
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Εκπαίδευση;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;;;;;;;;;;;0;1;0;1
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Εκπαίδευση;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;4;4;-3;1;-1;;;;-1;2;2;2;0;2
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Εκπαίδευση;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;0;71;-8;53;0;68;0;90;-14;90;-21;67;7;73
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Εκπαίδευση;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;-5;72;-1;28;1;24;-2;9;-3;14;2;11;1;26
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Εκπαίδευση;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;5;55;-5;45;22;67;1;51;9;43;10;39;-7;50
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Εκπαίδευση;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);-1;9;3;10;2;10;-5;9;2;11;0;4;0;9
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Ενημέρωση και επικοινωνία;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;0;7;-2;3;2;5;-2;2;1;2;0;3;0;4
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Ενημέρωση και επικοινωνία;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;-3;6;-2;1;0;4;0;4;-1;;;;1;4
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Ενημέρωση και επικοινωνία;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;-1;3;1;1;-1;;5;5;0;4;-1;1;-1;3
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Ενημέρωση και επικοινωνία;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;;;;;;;;;1;1;;;-1;1
ΓΕΛ;Περιφέρεια Ανατολικής Μακεδονίας & Θράκης;Άνδρες;Ενημέρωση και επικοινωνία;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;0;18;1;20;2;26;5;15;5;20;5;29;-3;21
