;;;;;2019;2019;2020;2020;2021;2021;2022;2022;2023;2023;2024;2024;MO ΝΕΕΣ ΘΕΣΕΙΣ;ΜΟ ΠΡΟΣΛΗΨΕΙΣ
Εκπαιδευτικό επίπεδο;Περιφέρεια;Φύλο;Κλάδος (1ο επίπεδο ανάλυσης);Επάγγελμα (1ο επίπεδο ανάλυσης);Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;Νέες Θέσεις  ;Προσλήψεις;;
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;22;169;24;157;-12;103;24;95;4;93;16;108;-13;121
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;22;277;58;301;72;293;35;314;37;308;56;361;-47;309
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;;;;;;;0;2;-1;2;2;4;0;3
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;3;17;14;31;-1;13;10;19;-4;17;0;24;-4;20
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;1;4;1;1;2;2;1;2;1;2;-7;;0;2
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;31;111;16;115;0;120;-20;115;-26;115;-13;96;2;112
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;8;214;17;160;32;208;55;264;24;290;-5;291;-22;238
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;57;376;91;358;113;456;60;437;-6;413;83;495;-66;423
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);56;354;169;560;11;419;-19;374;-33;339;5;335;-32;397
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;683;12.074;707;8.926;-143;10.417;-436;11.164;-321;11.676;-339;11.050;-25;10885
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;1478;49.172;-813;24.895;1397;31.823;-257;44.320;137;47.353;-728;45.849;-202;40569
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;1;14;0;6;-2;8;-1;3;0;4;3;7;0;7
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;50;1.326;-51;825;12;778;-28;931;67;1.073;-6;1.104;-7;1006
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Ένοπλες Δυνάμεις;;;;;;;;;2;3;1;5;-2;4
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;8;517;-24;252;4;283;-12;311;16;341;46;356;-6;343
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;14;1.097;-54;403;42;520;10;914;43;1.254;5;1.040;-10;871
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;526;23.670;-1650;8.513;717;8.020;380;16.525;-236;17.008;-196;16.007;77;14957
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;62;3.794;27;2.274;295;3.246;-103;3.966;29;3.971;59;3.705;-62;3493
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);52;5.023;612;4.530;-62;5.283;-297;5.519;-389;5.546;-115;5.065;33;5161
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Εκπαίδευση;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;9;111;-18;68;1;62;17;172;-15;122;21;171;-3;118
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Εκπαίδευση;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;3;260;-1;160;-4;200;3;100;3;144;1;131;-1;166
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Εκπαίδευση;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;;;;;2;2;0;1;;;0;3;-1;2
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Εκπαίδευση;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;7;23;2;28;1;15;-1;13;2;16;0;16;-2;19
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Εκπαίδευση;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;1;1;-1;;2;4;-1;1;0;2;;;0;2
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Εκπαίδευση;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;42;2.116;-167;1.552;8;1.391;-54;1.527;-5;1.532;74;1.516;17;1606
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Εκπαίδευση;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;27;604;23;303;37;227;-1;324;-5;357;12;421;-16;373
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Εκπαίδευση;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;36;972;64;846;126;1.051;40;1.285;20;1.443;10;1.326;-49;1154
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Εκπαίδευση;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);-1;782;-7;733;8;797;7;801;4;833;-1;758;-2;784
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Ενημέρωση και επικοινωνία;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;-23;606;-31;263;-6;452;2;444;-30;412;40;469;8;441
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Ενημέρωση και επικοινωνία;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;1;390;-1;178;-10;180;-3;337;1;319;-20;276;5;280
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Ενημέρωση και επικοινωνία;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;0;1;;;;;;;;;;;0;1
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Ενημέρωση και επικοινωνία;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;25;497;-16;509;-3;523;11;426;-9;390;-9;425;0;462
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Ενημέρωση και επικοινωνία;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;-3;55;2;62;-5;102;8;59;-5;75;23;122;-3;79
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Ενημέρωση και επικοινωνία;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;39;5.131;13;2.811;117;3.706;165;4.666;149;4.871;111;3.457;-99;4107
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Ενημέρωση και επικοινωνία;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;-29;6.731;-15;5.536;81;8.476;16;7.802;-81;8.369;89;8.290;-10;7534
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Ενημέρωση και επικοινωνία;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;39;2.133;82;1.851;409;2.685;139;2.463;287;2.541;153;2.321;-185;2332
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Ενημέρωση και επικοινωνία;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);-8;366;8;491;6;686;2;375;-1;410;2;396;-2;454
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;40;1.282;3;1.033;48;1.287;71;1.458;15;1.704;99;2.242;-46;1501
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;-13;3.843;-153;1.686;104;1.862;356;3.097;-89;2.826;126;3.246;-55;2760
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;-5;33;-9;19;0;24;0;22;-3;8;4;23;2;22
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;-4;178;58;311;-6;313;10;253;48;301;65;304;-29;277
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Ένοπλες Δυνάμεις;;;;;-1;;;;;;;;1;#DIV/0!
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;-3;12;1;15;3;18;1;12;9;25;1;22;-2;17
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;45;656;56;515;85;550;14;711;-1;950;-25;826;-29;701
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;62;2.274;86;1.001;38;1.191;21;1.869;51;2.774;54;2.719;-52;1971
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;661;4.917;-31;3.614;151;3.815;307;3.783;-28;3.765;250;3.912;-218;3968
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Επαγγελματικές, επιστημονικές και τεχνικές δραστηριότητες;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);37;368;602;1.057;-662;1.214;45;316;33;292;25;317;-13;594
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Κατασκευές;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;161;1.923;296;1.763;167;1.829;137;1.873;300;1.909;308;2.266;-228;1927
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Κατασκευές;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;55;355;-6;130;-46;88;19;77;-5;79;0;90;-3;137
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Κατασκευές;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;-4;11;7;23;-2;30;-12;55;-13;34;7;29;3;30
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Κατασκευές;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;162;2.075;312;1.961;42;1.860;167;1.963;375;2.207;189;2.387;-208;2076
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Κατασκευές;Ένοπλες Δυνάμεις;0;1;;;;;;;;;;;0;1
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Κατασκευές;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;1;5;2;3;1;4;3;4;15;23;5;8;-5;8
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Κατασκευές;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;5;24;-4;13;-3;18;8;38;3;24;3;42;-2;27
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Κατασκευές;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;6;149;6;95;-2;116;104;236;9;223;-3;247;-20;178
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Κατασκευές;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;52;369;111;365;25;356;72;483;-4;499;156;1.062;-69;522
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Κατασκευές;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);9;536;120;537;44;612;112;659;241;893;79;868;-101;684
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταποίηση;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;367;3.131;448;2.674;282;3.228;89;3.046;216;3.126;348;3.462;-292;3111
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταποίηση;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;144;2.287;54;1.083;176;1.298;-80;1.486;33;1.175;-38;1.260;-48;1432
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταποίηση;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;2;2;-1;;3;6;;;-1;;1;2;-1;3
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταποίηση;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;134;3.704;117;3.148;38;3.643;146;4.227;53;4.065;85;4.343;-96;3855
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταποίηση;Ένοπλες Δυνάμεις;;;;;;;1;1;0;1;1;2;-1;1
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταποίηση;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;-10;21;1;23;1;23;-3;28;-2;31;-6;18;3;24
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταποίηση;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;-31;556;4;112;8;76;10;88;22;155;0;86;-2;179
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταποίηση;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;-53;626;-15;398;51;488;-18;605;-5;613;60;687;-3;570
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταποίηση;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;95;942;188;900;134;999;19;974;201;1.084;38;1.083;-113;997
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταποίηση;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);58;1.701;92;1.490;39;1.785;119;2.415;251;2.477;654;4.805;-202;2446
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταφορά και αποθήκευση;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;149;2.489;156;1.892;265;2.409;278;2.872;182;2.476;343;3.304;-229;2574
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταφορά και αποθήκευση;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;-72;677;4;263;11;354;8;331;126;423;171;560;-41;435
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταφορά και αποθήκευση;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;0;1;1;2;-1;1;1;1;2;2;-2;;0;1
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταφορά και αποθήκευση;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;-11;171;21;162;65;199;40;219;113;274;111;307;-57;222
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταφορά και αποθήκευση;Ένοπλες Δυνάμεις;;;;;;;;;;;0;1;0;1
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταφορά και αποθήκευση;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;-7;2;-1;4;-2;2;-7;3;3;10;-3;14;3;6
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταφορά και αποθήκευση;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;7;22;0;13;1;20;-5;35;3;16;8;27;-2;22
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταφορά και αποθήκευση;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;6;103;4;41;7;66;34;146;66;199;29;156;-24;119
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταφορά και αποθήκευση;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;268;2.159;675;2.711;1;2.987;-30;2.575;162;2.911;173;2.797;-208;2690
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Μεταφορά και αποθήκευση;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);688;6.640;511;7.094;1719;8.046;-503;7.301;205;6.843;307;7.710;-488;7272
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Ορυχεία και Λατομεία;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;2;5;0;4;4;9;8;13;-1;8;-5;4;-1;7
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Ορυχεία και Λατομεία;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;;;0;1;0;1;2;3;3;3;0;1;-1;2
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Ορυχεία και Λατομεία;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;0;5;0;6;0;7;0;8;-1;2;5;8;-1;6
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Ορυχεία και Λατομεία;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;;;;;;;;;;;-1;;1;#DIV/0!
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Ορυχεία και Λατομεία;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;;;;;;;2;3;3;3;2;3;-2;3
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Ορυχεία και Λατομεία;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;1;3;1;3;1;4;1;3;1;2;2;4;-1;3
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Ορυχεία και Λατομεία;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;1;2;5;7;3;5;3;11;-4;;1;3;-2;6
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Ορυχεία και Λατομεία;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);1;3;2;4;4;6;-4;7;0;9;15;22;-3;9
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;7;150;-6;130;-10;162;-2;166;-12;117;8;84;3;135
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;0;6;5;10;-1;8;-4;2;-14;2;-8;;4;6
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;-10;15;-1;25;-6;33;0;32;-15;28;-24;13;9;24
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;;;;;;;0;1;0;2;2;3;-1;2
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;-2;2;0;2;1;3;4;5;-2;4;-3;2;0;3
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;8;13;14;25;5;30;-1;14;-5;11;2;11;-4;17
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;-33;202;-34;215;17;322;-34;218;-91;145;-54;143;38;208
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Παροχή ηλεκτρικού ρεύματος, φυσικού αερίου, ατμού και κλιματισμού;Χειριστές σταθερών βιομηχανικών εγκαταστάσεων, μηχανημάτων και εξοπλισμού και συναρμολογητές (μονταδόροι);11;122;-2;97;-5;92;-1;89;-7;37;-20;42;4;80
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης;Ανειδίκευτοι εργάτες, χειρωνάκτες και μικροεπαγγελματίες;15;190;30;101;10;122;23;142;5;103;14;118;-16;129
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης;Απασχολούμενοι στην παροχή υπηρεσιών και πωλητές σε καταστήματα και υπαίθριες αγορές;2;8;1;8;0;3;0;3;2;7;-2;6;-1;6
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης;Ειδικευμένοι γεωργοί, κτηνοτρόφοι, δασοκόμοι και αλιείς;;;;;-1;;;;;;;;1;#DIV/0!
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης;Ειδικευμένοι τεχνίτες και ασκούντες συναφή τεχνικά επαγγέλματα;-5;28;4;15;2;27;10;36;4;24;-5;13;-2;24
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης;Μέλη των βουλευομένων σωμάτων, ανώτερα διοικητικά και διευθυντικά στελέχη του δημόσιου και του ιδιωτικού τομέα;0;1;-1;1;3;3;0;1;0;1;2;4;-1;2
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης;Πρόσωπα που ασκούν επιστημονικά, καλλιτεχνικά και συναφή επαγγέλματα;0;1;-1;1;;;1;3;1;1;-1;2;0;2
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης;Τεχνολόγοι, τεχνικοί βοηθοί και ασκούντες συναφή επαγγέλματα;2;6;3;9;-1;13;-2;5;1;3;3;6;-1;7
ΓΕΛ;Περιφέρεια Αττικής;Άνδρες;Παροχή νερού, επεξεργασία λυμάτων, διαχείριση αποβλήτων και δραστηριότητες εξυγίανσης;Υπάλληλοι γραφείου και ασκούντες συναφή επαγγέλματα;8;146;11;43;-4;39;-6;55;-5;36;7;46;-2;61
